log(M1),log(GNP),rs,rl
6.111245585,7.249072901,0.0108,0.026133333
6.115892125,7.245084291,0.008133333,0.025233333
6.129268051,7.257002707,0.0087,0.0249
6.14117682,7.271564712,0.010366667,0.025666667
6.151881269,7.292745534,0.0126,0.027466667
6.159306783,7.303641321,0.015133333,0.028166667
6.162472344,7.316880348,0.018633333,0.029266667
6.161840033,7.325609985,0.023466667,0.0289
6.164156555,7.323632657,0.0238,0.028866667
6.15888395,7.328174679,0.025966667,0.0299
6.149962905,7.328896866,0.025966667,0.031266667
6.147399349,7.33992723,0.030633333,0.033
6.141392036,7.348136979,0.0317,0.032733333
6.133831788,7.347557399,0.031566667,0.034333333
6.124902185,7.353402177,0.0338,0.0363
6.115892125,7.33778291,0.033433333,0.035333333
6.103676538,7.317278807,0.018366667,0.032566667
6.108358299,7.322642526,0.0102,0.031533333
6.11853763,7.34601021,0.0171,0.0357
6.127960292,7.369411667,0.027866667,0.037533333
6.140100046,7.381750929,0.028,0.039166667
6.144829204,7.400620577,0.0302,0.0406
6.148681948,7.396028498,0.035333333,0.041566667
6.131226489,7.404522545,0.043,0.041666667
6.129485845,7.421536531,0.039433333,0.042233333
6.121834698,7.4186609,0.0309,0.041066667
6.130138942,7.419620362,0.023933333,0.0383
6.122273487,7.411012333,0.0236,0.039066667
6.126869184,7.421357046,0.023766667,0.038266667
6.134482054,7.43372564,0.023266667,0.038033333
6.135997698,7.44792609,0.023233333,0.039733333
6.142897251,7.470167154,0.024766667,0.040066667
6.147185422,7.483188172,0.0274,0.0406
6.149536102,7.493539941,0.027166667,0.0389
6.14525802,7.502793366,0.028566667,0.0398
6.147827065,7.501137371,0.028033333,0.038766667
6.156767099,7.514581753,0.0291,0.039133333
6.162893663,7.528331767,0.029433333,0.0398
6.16898292,7.545653985,0.0328,0.040133333
6.173577749,7.552814549,0.034966667,0.041066667
6.177736624,7.574917763,0.035366667,0.041566667
6.183736435,7.583451066,0.0348,0.041633333
6.197054939,7.593474944,0.035066667,0.041433333
6.20576915,7.597747488,0.036866667,0.0414
6.211202305,7.619184323,0.039,0.0415
6.209796541,7.633563242,0.0388,0.041433333
6.218002331,7.649359235,0.0386,0.041966667
