"Model","Time","f","ll","ul"
"reps15_hd5_sdetFALSE",131,8.2278766923447,8.2278766923447,8.2278766923447
"reps15_hd5_sdetFALSE",132,8.23272068911654,8.23272068911654,8.23272068911654
"reps15_hd5_sdetFALSE",133,8.22178448771875,8.22178448771875,8.22178448771875
"reps15_hd5_sdetFALSE",134,8.21731960515902,8.21731960515902,8.21731960515902
"reps15_hd5_sdetFALSE",135,8.26178320377863,8.26178320377863,8.26178320377863
"reps15_hd5_sdetFALSE",136,8.26522139965064,8.26522139965064,8.26522139965064
"reps19_hd2_sdetFALSE",131,8.22965763156111,8.22965763156111,8.22965763156111
"reps19_hd2_sdetFALSE",132,8.23905707282243,8.23905707282243,8.23905707282243
"reps19_hd2_sdetFALSE",133,8.22893585193485,8.22893585193485,8.22893585193485
"reps19_hd2_sdetFALSE",134,8.23246915113718,8.23246915113718,8.23246915113718
"reps19_hd2_sdetFALSE",135,8.25925374602098,8.25925374602098,8.25925374602098
"reps19_hd2_sdetFALSE",136,8.26189894366923,8.26189894366923,8.26189894366923
"Realization",1,7.249072901,7.249072901,7.249072901
"Realization",2,7.245084291,7.245084291,7.245084291
"Realization",3,7.257002707,7.257002707,7.257002707
"Realization",4,7.271564712,7.271564712,7.271564712
"Realization",5,7.292745534,7.292745534,7.292745534
"Realization",6,7.303641321,7.303641321,7.303641321
"Realization",7,7.316880348,7.316880348,7.316880348
"Realization",8,7.325609985,7.325609985,7.325609985
"Realization",9,7.323632657,7.323632657,7.323632657
"Realization",10,7.328174679,7.328174679,7.328174679
"Realization",11,7.328896866,7.328896866,7.328896866
"Realization",12,7.33992723,7.33992723,7.33992723
"Realization",13,7.348136979,7.348136979,7.348136979
"Realization",14,7.347557399,7.347557399,7.347557399
"Realization",15,7.353402177,7.353402177,7.353402177
"Realization",16,7.33778291,7.33778291,7.33778291
"Realization",17,7.317278807,7.317278807,7.317278807
"Realization",18,7.322642526,7.322642526,7.322642526
"Realization",19,7.34601021,7.34601021,7.34601021
"Realization",20,7.369411667,7.369411667,7.369411667
"Realization",21,7.381750929,7.381750929,7.381750929
"Realization",22,7.400620577,7.400620577,7.400620577
"Realization",23,7.396028498,7.396028498,7.396028498
"Realization",24,7.404522545,7.404522545,7.404522545
"Realization",25,7.421536531,7.421536531,7.421536531
"Realization",26,7.4186609,7.4186609,7.4186609
"Realization",27,7.419620362,7.419620362,7.419620362
"Realization",28,7.411012333,7.411012333,7.411012333
"Realization",29,7.421357046,7.421357046,7.421357046
"Realization",30,7.43372564,7.43372564,7.43372564
"Realization",31,7.44792609,7.44792609,7.44792609
"Realization",32,7.470167154,7.470167154,7.470167154
