"Model","ASE","Time_Test_Start","Time_Test_End","Batch"
"Univar A",5.75283877703727e-05,131,132,1
"Univar A",0.000179876397666713,133,134,2
"Univar A",1.24264654753311e-05,135,136,3
"Univar B",3.61710997771645e-06,131,132,1
"Univar B",0.000133945482877433,133,134,2
"Univar B",2.11905634559032e-05,135,136,3
"Univar C",2.11905634559032e-05,135,136,1
"AIC Both - R",0.00116624997185677,131,132,1
"AIC Both - R",0.000166919200624283,133,134,2
"AIC Both - R",1.80402290752801e-05,135,136,3
"AIC Trend - R",0.000379322077754289,131,132,1
"AIC Trend - R",3.54213696255052e-05,133,134,2
"AIC Trend - R",2.12077730258697e-05,135,136,3
"reps19_hd2_sdetFALSE",0.000123595898534739,131,132,1
"reps19_hd2_sdetFALSE",0.000162611783204444,133,134,2
"reps19_hd2_sdetFALSE",8.09564637458037e-05,135,136,3
