"Model","ASE","Time_Test_Start","Time_Test_End","Batch"
"Univar A",3.96032672843582e-05,129,130,1
"Univar A",5.75283877703727e-05,131,132,2
"Univar A",0.000179876397666713,133,134,3
"Univar B",5.00922427881027e-05,129,130,1
"Univar B",3.61710997771645e-06,131,132,2
"Univar B",0.000133945482877433,133,134,3
"Univar C",0.000133945482877433,133,134,1
"AIC Both - R",0.000356846092612874,129,130,1
"AIC Both - R",0.00117211986124652,131,132,2
"AIC Both - R",0.000164363193103552,133,134,3
"AIC Trend - R",0.000315362796719556,129,130,1
"AIC Trend - R",0.000694719920536767,131,132,2
"AIC Trend - R",3.96971029512088e-06,133,134,3
"reps15_hd5_sdetFALSE",1.52534168667294e-05,129,130,1
"reps15_hd5_sdetFALSE",2.24223514398229e-05,131,132,2
"reps15_hd5_sdetFALSE",0.000600132036903871,133,134,3
