"Model","ASE","Time_Test_Start","Time_Test_End","Batch"
"Univar A",3.12308225764145e-05,119,120,1
"Univar A",8.31434200888188e-05,121,122,2
"Univar A",8.99107613814644e-05,123,124,3
"Univar A",9.23963889730699e-05,125,126,4
"Univar A",3.58922274584229e-05,127,128,5
"Univar A",3.96032672843582e-05,129,130,6
"Univar A",5.75283877703727e-05,131,132,7
"Univar A",0.000179876397666713,133,134,8
"Univar B",3.11894455528081e-05,119,120,1
"Univar B",0.000195071292086915,121,122,2
"Univar B",2.0555112379594e-05,123,124,3
"Univar B",3.4537354499041e-06,125,126,4
"Univar B",0.000238009765613329,127,128,5
"Univar B",5.00922427881027e-05,129,130,6
"Univar B",3.61710997771645e-06,131,132,7
"Univar B",0.000133945482877433,133,134,8
"Univar C",0.000133945482877433,133,134,1
"AIC Both - R",9.53415765907678e-05,119,120,1
"AIC Both - R",5.63432845915735e-05,121,122,2
"AIC Both - R",0.000162816178046665,123,124,3
"AIC Both - R",5.09735054355053e-06,125,126,4
"AIC Both - R",0.000149402359459911,127,128,5
"AIC Both - R",0.000352126894297292,129,130,6
"AIC Both - R",0.00111179164980607,131,132,7
"AIC Both - R",9.41956795816891e-05,133,134,8
"AIC Trend - R",4.07323799036183e-06,119,120,1
"AIC Trend - R",0.000225427731940963,121,122,2
"AIC Trend - R",1.84818669129706e-05,123,124,3
"AIC Trend - R",9.46361043687706e-06,125,126,4
"AIC Trend - R",0.00019476432486588,127,128,5
"AIC Trend - R",0.00032344234699412,129,130,6
"AIC Trend - R",0.000689865028845393,131,132,7
"AIC Trend - R",2.47277635958661e-06,133,134,8
"reps19_hd2_sdetFALSE",4.01677184126864e-05,119,120,1
"reps19_hd2_sdetFALSE",0.000272858996316274,121,122,2
"reps19_hd2_sdetFALSE",0.000262383678444808,123,124,3
"reps19_hd2_sdetFALSE",1.96260233679372e-05,125,126,4
"reps19_hd2_sdetFALSE",5.52812013604825e-05,127,128,5
"reps19_hd2_sdetFALSE",5.52334056835546e-05,129,130,6
"reps19_hd2_sdetFALSE",0.000219281569444876,131,132,7
"reps19_hd2_sdetFALSE",0.000640217368054598,133,134,8
